"Autor.id";"ID_CONVENIO";"TX_OBJETO_CONVENIO";"VL_GLOBAL";"VL_REPASSE";"DT_PUBLICACAO";"acao.ab"
"FLAVIANO MELO_AC";273907;"Construção de Praça";"R$ 510.250,00";"R$ 500.000,00";"06/07/2012";"FOMENTO AO SETOR AGROPECUÁRIO "
"FLAVIANO MELO_AC";273897;"Construção da Casa do Colono";"R$ 510.250,00";"R$ 500.000,00";"06/07/2012";"FOMENTO AO SETOR AGROPECUÁRIO "
"FLAVIANO MELO_AC";406005;"Construção de Calçadas em Vias Pavimentadas";"R$ 404.050,00";"R$ 400.000,00";"";"FOMENTO AO SETOR AGROPECUÁRIO "
"FLAVIANO MELO_AC";406007;"Construção de Calçadas em Vias Pavimentadas";"R$ 252.600,00";"R$ 250.000,00";"";"FOMENTO AO SETOR AGROPECUÁRIO "
"FLAVIANO MELO_AC";406002;"Aquisição de rolo compactador";"R$ 293.300,00";"R$ 293.000,00";"";"FOMENTO AO SETOR AGROPECUÁRIO "
"FLAVIANO MELO_AC";403943;"Aquisição de caminhão traçado com carroceria para madeira e peladeiras de arroz";"R$ 340.400,00";"R$ 340.000,00";"14/07/2014";"FOMENTO AO SETOR AGROPECUÁRIO "
"FLAVIANO MELO_AC";400940;"Construção da Rampa de Acesso ao Porto.";"R$ 510.205,00";"R$ 500.000,00";"14/07/2014";"FOMENTO AO SETOR AGROPECUÁRIO "
"FLAVIANO MELO_AC";401006;"Construção de Calçadas em Vias Pavimentadas";"R$ 404.050,00";"R$ 400.000,00";"24/11/2014";"FOMENTO AO SETOR AGROPECUÁRIO "
"FLAVIANO MELO_AC";403939;"Aquisição de Caminhão com Carroceria tipo carga seca, Trator agrícola de pneus  e Veículo Utilitário";"R$ 353.600,00";"R$ 350.000,00";"18/08/2014";"FOMENTO AO SETOR AGROPECUÁRIO "
"FLAVIANO MELO_AC";406000;"Reforma e cobertura das quadras do Bosque";"R$ 505.100,00";"R$ 500.000,00";"";"FOMENTO AO SETOR AGROPECUÁRIO "
"FLAVIANO MELO_AC";400913;"Construção de Praça Pública";"R$ 757.600,00";"R$ 750.000,00";"05/08/2014";"FOMENTO AO SETOR AGROPECUÁRIO "
"FLAVIANO MELO_AC";406008;"Construção de Galpão em Alvenaria";"R$ 303.035,00";"R$ 300.000,00";"";"FOMENTO AO SETOR AGROPECUÁRIO "
"FLAVIANO MELO_AC";400959;"Construção de Calçadas em Vias Pavimentadas";"R$ 656.600,00";"R$ 650.000,00";"";"FOMENTO AO SETOR AGROPECUÁRIO "
