ABEL MESQUITA JR._RR;ABEL MESQUITA JR.;178957
AELTON FREITAS_MG;AELTON FREITAS;141372
AFONSO FLORENCE_BA;AFONSO FLORENCE;160508
AFONSO HAMM_RS;AFONSO HAMM;136811
AFONSO MOTTA_RS;AFONSO MOTTA;178835
AGUINALDO RIBEIRO_PB;AGUINALDO RIBEIRO;160527
ALAN RICK_AC;ALAN RICK;178836
ALBERTO FILHO_MA;ALBERTO FILHO;160582
ALBERTO FRAGA_DF;ALBERTO FRAGA;73579
ALCEU MOREIRA_RS;ALCEU MOREIRA;160559
ALESSANDRO MOLON_RJ;ALESSANDRO MOLON;160511
ALEX CANZIANI_PR;ALEX CANZIANI;73458
ALEXANDRE LEITE_SP;ALEXANDRE LEITE;160545
ALEXANDRE SERFIOTIS_RJ;ALEXANDRE SERFIOTIS;178833
ALFREDO KAEFER_PR;ALFREDO KAEFER;141454
ALFREDO NASCIMENTO_AM;ALFREDO NASCIMENTO;178846
ALICE PORTUGAL_BA;ALICE PORTUGAL;74057
ALIEL MACHADO_PR;ALIEL MACHADO;178927
ANDERSON FERREIRA_PE;ANDERSON FERREIRA;160551
ANDRÉ ABDON_AP;ANDRÉ ABDON;178831
ANDRE MOURA_SE;ANDRE MOURA;160543
ANDRES SANCHEZ_SP;ANDRES SANCHEZ;178974
ANGELIM_AC;ANGELIM;178837
ANÍBAL GOMES_CE;ANÍBAL GOMES;74212
ANTONIO BRITO_BA;ANTONIO BRITO;160553
ANTONIO BULHÕES_SP;ANTONIO BULHÕES;141383
ANTONIO IMBASSAHY_BA;ANTONIO IMBASSAHY;160530
ANTÔNIO JÁCOME_RN;ANTÔNIO JÁCOME;178950
ARIOSTO HOLANDA_CE;ARIOSTO HOLANDA;74103
ARLINDO CHINAGLIA_SP;ARLINDO CHINAGLIA;73433
ARNALDO FARIA DE SÁ_SP;ARNALDO FARIA DE SÁ;73434
ARNALDO JARDIM_SP;ARNALDO JARDIM;141391
ARNALDO JORDY_PA;ARNALDO JORDY;160602
ARNON BEZERRA_CE;ARNON BEZERRA;74291
ARTHUR LIRA_AL;ARTHUR LIRA;160541
ARTHUR OLIVEIRA MAIA_BA;ARTHUR OLIVEIRA MAIA;160600
ARTHUR VIRGÍLIO BISNETO_AM;ARTHUR VIRGÍLIO BISNETO;178847
ASSIS CARVALHO_PI;ASSIS CARVALHO;159237
ASSIS DO COUTO_PR;ASSIS DO COUTO;74378
ÁTILA LINS_AM;ÁTILA LINS;74090
ÁTILA LIRA_PI;ÁTILA LIRA;74459
AUGUSTO CARVALHO_DF;AUGUSTO CARVALHO;73655
AUGUSTO COUTINHO_PE;AUGUSTO COUTINHO;160665
AUREO_RJ;AUREO;160512
BALEIA ROSSI_SP;BALEIA ROSSI;178975
BEBETO_BA;BEBETO;178834
BENEDITA DA SILVA_RJ;BENEDITA DA SILVA;73701
BENJAMIN MARANHÃO_PB;BENJAMIN MARANHÃO;74040
BETO FARO_PA;BETO FARO;141335
BETO MANSUR_SP;BETO MANSUR;73437
BILAC PINTO_MG;BILAC PINTO;141513
BOHN GASS_RS;BOHN GASS;160538
BONIFÁCIO DE ANDRADA_MG;BONIFÁCIO DE ANDRADA;74650
BRUNA FURLAN_SP;BRUNA FURLAN;160589
BRUNO ARAÚJO_PE;BRUNO ARAÚJO;141394
CABUÇU BORGES_AP;CABUÇU BORGES;105112
CACÁ LEÃO_BA;CACÁ LEÃO;93083
CAETANO_BA;CAETANO;178853
CAPITÃO AUGUSTO_SP;CAPITÃO AUGUSTO;178829
CARLOS ANDRADE_RR;CARLOS ANDRADE;178958
CARLOS BEZERRA_MT;CARLOS BEZERRA;141401
CARLOS GOMES_RS;CARLOS GOMES;178962
CARLOS MANATO_ES;CARLOS MANATO;74163
CARLOS MELLES_MG;CARLOS MELLES;74651
CARLOS SAMPAIO_SP;CARLOS SAMPAIO;74262
CARLOS ZARATTINI_SP;CARLOS ZARATTINI;141398
CARMEN ZANOTTO_SC;CARMEN ZANOTTO;164360
CÉLIO SILVEIRA_GO;CÉLIO SILVEIRA;178876
CELSO MALDANER_SC;CELSO MALDANER;141405
CELSO RUSSOMANNO_SP;CELSO RUSSOMANNO;73441
CÉSAR HALUM_TO;CÉSAR HALUM;160576
CÉSAR MESSIAS_AC;CÉSAR MESSIAS;178838
CHICO ALENCAR_RJ;CHICO ALENCAR;74171
CHICO LOPES_CE;CHICO LOPES;141440
CLAUDIO CAJADO_BA;CLAUDIO CAJADO;74537
CLEBER VERDE_MA;CLEBER VERDE;141408
