ABEL MESQUITA JR.;5310756;231;RR=DEM;178957;ABEL MESQUITA JR.
ADAIL CARNEIRO;5310601;2392;CE=PP;178864;ADAIL CARNEIRO
ADALBERTO CAVALCANTI;5310364;23138;PE=PTB;178914;ADALBERTO CAVALCANTI
ADELMO CARNEIRO LEÃO;5310314;23221;MG=PT;178890;ADELMO CARNEIRO LEÃO
ADELSON BARRETO;5310370;23175;SE=PR;178968;ADELSON BARRETO
ADILTON SACHETTI;5310628;23401;MT=PSB;178903;ADILTON SACHETTI
AELTON FREITAS;5310322;23224;MG=PR;141372;AELTON FREITAS
AFONSO FLORENCE;5310319;23182;BA=PT;160508;AFONSO FLORENCE
AFONSO HAMM;5310647;23487;RS=PP;136811;AFONSO HAMM
AFONSO MOTTA;5310619;23490;RS=PDT;178835;AFONSO MOTTA
AGUINALDO RIBEIRO;5310568;23129;PB=PP;160527;AGUINALDO RIBEIRO
ALAN RICK;5310326;2353;AC=PRB;178836;ALAN RICK
ALBERTO FILHO;5310840;23548;MA=PMDB;160582;ALBERTO FILHO
ALBERTO FRAGA;5310472;23410;DF=DEM;73579;ALBERTO FRAGA
ALCEU MOREIRA;5310689;23486;RS=PMDB;160559;ALCEU MOREIRA
ALESSANDRO MOLON;5310329;23287;RJ=REDE;160511;ALESSANDRO MOLON
ALEX CANZIANI;5310426;23445;PR=PTB;73458;ALEX CANZIANI
ALEX MANENTE;5310591;23331;SP=PPS;178972;ALEX MANENTE
ALEXANDRE BALDY;5310373;23416;GO=PTN;178875;ALEXANDRE BALDY
ALEXANDRE LEITE;5310381;23334;SP=DEM;160545;ALEXANDRE LEITE
ALEXANDRE SERFIOTIS;5310747;23284;RJ=PMDB;178833;ALEXANDRE SERFIOTIS
ALEXANDRE VALLE;5310436;23285;RJ=PR;178936;ALEXANDRE VALLE
ALFREDO KAEFER;5310645;23451;PR=PSL;141454;ALFREDO KAEFER
ALFREDO NASCIMENTO;5310771;2336;AM=PR;178846;ALFREDO NASCIMENTO
ALICE PORTUGAL;5310470;23180;BA=PCdoB;74057;ALICE PORTUGAL
ALIEL MACHADO;5310336;23441;PR=REDE;178927;ALIEL MACHADO
ALTINEU CÔRTES;5310582;23286;RJ=PMDB;178937;ALTINEU CÔRTES
ALUISIO MENDES;5310565;2368;MA=PTN;178881;ALUISIO MENDES
ANA PERUGINI;5310779;23332;SP=PT;178973;ANA PERUGINI
ANDERSON FERREIRA;5310422;23142;PE=PR;160551;ANDERSON FERREIRA
ANDRÉ ABDON;5310650;239;AP=PP;178831;ANDRÉ ABDON
ANDRÉ DE PAULA;5310461;23140;PE=PSD;74471;ANDRÉ DE PAULA
ANDRÉ FUFUCA;5310768;2372;MA=PP;178882;ANDRÉ FUFUCA
ANDRE MOURA;5310799;23174;SE=PSC;160543;ANDRE MOURA
ANDRES SANCHEZ;5310481;23341;SP=PT;178974;ANDRES SANCHEZ
ANGELIM;5310541;2352;AC=PT;178837;ANGELIM
ANÍBAL GOMES;5310497;2387;CE=PMDB;74212;ANÍBAL GOMES
ANTONIO BRITO;5310609;23189;BA=PSD;160553;ANTONIO BRITO
ANTONIO BULHÕES;5310625;23333;SP=PRB;141383;ANTONIO BULHÕES
ANTONIO IMBASSAHY;5310702;23191;BA=PSDB;160530;ANTONIO IMBASSAHY
ANTÔNIO JÁCOME;5310587;23121;RN=PTN;178950;ANTÔNIO JÁCOME
ARIOSTO HOLANDA;5310847;23555;CE=PDT;74103;ARIOSTO HOLANDA
ARLINDO CHINAGLIA;5310761;23336;SP=PT;73433;ARLINDO CHINAGLIA
ARNALDO FARIA DE SÁ;5310487;23337;SP=PTB;73434;ARNALDO FARIA DE SÁ
ARNALDO JARDIM;5310368;23339;SP=PPS;141391;ARNALDO JARDIM
ARNALDO JORDY;5310744;2318;PA=PPS;160602;ARNALDO JORDY
ARNON BEZERRA;5310664;2390;CE=PTB;74291;ARNON BEZERRA
AROLDE DE OLIVEIRA;5310793;23288;RJ=PSC;74833;AROLDE DE OLIVEIRA
ARTHUR LIRA;5310321;23162;AL=PP;160541;ARTHUR LIRA
ARTHUR OLIVEIRA MAIA;5310788;23192;BA=PPS;160600;ARTHUR OLIVEIRA MAIA
ARTHUR VIRGÍLIO BISNETO;5310441;2337;AM=PSDB;178847;ARTHUR VIRGÍLIO BISNETO
ASSIS CARVALHO;5310359;23111;PI=PT;159237;ASSIS CARVALHO
ASSIS DO COUTO;5310386;23443;PR=PDT;74378;ASSIS DO COUTO
ÁTILA LINS;5310571;2338;AM=PSD;74090;ÁTILA LINS
ÁTILA LIRA;5310530;23109;PI=PSB;74459;ÁTILA LIRA
AUGUSTO CARVALHO;5310433;23411;DF=SD;73655;AUGUSTO CARVALHO
AUGUSTO COUTINHO;5310811;23528;PE=SD;160665;AUGUSTO COUTINHO
AUREO;5310465;23290;RJ=SD;160512;AUREO
BACELAR;5310536;23184;BA=PTN;69871;BACELAR
BALEIA ROSSI;5310607;23342;SP=PMDB;178975;BALEIA ROSSI
BEBETO;5310613;23185;BA=PSB;178834;BEBETO
BENEDITA DA SILVA;5310660;23291;RJ=PT;73701;BENEDITA DA SILVA
BENITO GAMA;5310741;23190;BA=PTB;74535;BENITO GAMA
BENJAMIN MARANHÃO;5310769;23131;PB=SD;74040;BENJAMIN MARANHÃO
BETINHO GOMES;5310545;23141;PE=PSDB;178915;BETINHO GOMES
BETO FARO;5310714;2319;PA=PT;141335;BETO FARO
BETO MANSUR;5310451;23340;SP=PRB;73437;BETO MANSUR
BETO ROSADO;5310685;23122;RN=PP;178948;BETO ROSADO
BETO SALAME;5310637;2320;PA=PP;178906;BETO SALAME
BILAC PINTO;5310796;23232;MG=PR;141513;BILAC PINTO
BOHN GASS;5310655;23499;RS=PT;160538;BOHN GASS
BONIFÁCIO DE ANDRADA;5310755;23222;MG=PSDB;74650;BONIFÁCIO DE ANDRADA
BRUNA FURLAN;5310665;23335;SP=PSDB;160589;BRUNA FURLAN
BRUNNY;5310695;23223;MG=PR;178999;BRUNNY
BRUNO ARAÚJO;5310294;23146;PE=PSDB;141394;BRUNO ARAÚJO
BRUNO COVAS;5310738;23343;SP=PSDB;178976;BRUNO COVAS
CABO DACIOLO;5310757;23289;RJ=PTdoB;178938;CABO DACIOLO
CABO SABINO;5310773;2394;CE=PR;178865;CABO SABINO
CABUÇU BORGES;5310572;2314;AP=PMDB;105112;CABUÇU BORGES
CACÁ LEÃO;5310296;23193;BA=PP;93083;CACÁ LEÃO
CAETANO;5310486;23196;BA=PT;178853;CAETANO
CAIO NARCIO;5310543;23225;MG=PSDB;178891;CAIO NARCIO
CAPITÃO AUGUSTO;5310434;23346;SP=PR;178829;CAPITÃO AUGUSTO
CAPITÃO FÁBIO ABREU;5310295;23112;PI=PTB;178924;CAPITÃO FÁBIO ABREU
CARLOS ANDRADE;5310456;233;RR=PHS;178958;CARLOS ANDRADE
CARLOS BEZERRA;5310791;23400;MT=PMDB;141401;CARLOS BEZERRA
CARLOS GOMES;5310302;23492;RS=PRB;178962;CARLOS GOMES
CARLOS HENRIQUE GAGUIM;5310622;2360;TO=PTN;178993;CARLOS HENRIQUE GAGUIM
CARLOS MANATO;5310639;23275;ES=SD;74163;CARLOS MANATO
CARLOS MARUN;5310595;23433;MS=PMDB;178900;CARLOS MARUN
CARLOS MELLES;5310719;23226;MG=DEM;74651;CARLOS MELLES
CARLOS SAMPAIO;5310711;23338;SP=PSDB;74262;CARLOS SAMPAIO
CARLOS ZARATTINI;5310561;23398;SP=PT;141398;CARLOS ZARATTINI
CARMEN ZANOTTO;5310630;23477;SC=PPS;164360;CARMEN ZANOTTO
CÉLIO SILVEIRA;5310585;23417;GO=PSDB;178876;CÉLIO SILVEIRA
CELSO MALDANER;5310413;23472;SC=PMDB;141405;CELSO MALDANER
CELSO PANSERA;5310473;23292;RJ=PMDB;72912;CELSO PANSERA
CELSO RUSSOMANNO;5310790;23347;SP=PRB;73441;CELSO RUSSOMANNO
