"Autor.id";"Autor";"Autor..UF.";"Partido";"TotalConvenios";"CodImg"
"ABEL MESQUITA JR._RR";"ABEL MESQUITA JR.";"RR";"PMB";"5538015.68";"178957"
"AELTON FREITAS_MG";"AELTON FREITAS";"MG";"PR";"59885292.52";"141372"
"AFONSO FLORENCE_BA";"AFONSO FLORENCE";"BA";"PT";"4215969.49";"160508"
"AFONSO HAMM_RS";"AFONSO HAMM";"RS";"PP";"47329868.52";"136811"
"AFONSO MOTTA_RS";"AFONSO MOTTA";"RS";"PDT";"759139.6";"178835"
"AGUINALDO RIBEIRO_PB";"AGUINALDO RIBEIRO";"PB";"PP";"12945921.19";"160527"
"ALAN RICK_AC";"ALAN RICK";"AC";"PRB";"303240";"178836"
"ALBERTO FILHO_MA";"ALBERTO FILHO";"MA";"PMDB";"29829056.27";"160582"
"ALBERTO FRAGA_DF";"ALBERTO FRAGA";"DF";"DEM";"240000";"73579"
"ALCEU MOREIRA_RS";"ALCEU MOREIRA";"RS";"PMDB";"33197687.06";"160559"
"ALESSANDRO MOLON_RJ";"ALESSANDRO MOLON";"RJ";"REDE";"4427793.36";"160511"
"ALEX CANZIANI_PR";"ALEX CANZIANI";"PR";"PTB";"21736822.53";"73458"
"ALEXANDRE LEITE_SP";"ALEXANDRE LEITE";"SP";"DEM";"21234816.22";"160545"
"ALEXANDRE SERFIOTIS_RJ";"ALEXANDRE SERFIOTIS";"RJ";"PSD";"800000";"178833"
"ALFREDO KAEFER_PR";"ALFREDO KAEFER";"PR";"PSDB";"21123537.73";"141454"
"ALFREDO NASCIMENTO_AM";"ALFREDO NASCIMENTO";"AM";"PR";"824000";"178846"
"ALICE PORTUGAL_BA";"ALICE PORTUGAL";"BA";"PCdoB";"38320021.13";"74057"
"ALIEL MACHADO_PR";"ALIEL MACHADO";"PR";"REDE";"1246525";"178927"
"ANDERSON FERREIRA_PE";"ANDERSON FERREIRA";"PE";"PR";"65821378.31";"160551"
"ANDRE MOURA_SE";"ANDRE MOURA";"SE";"PSC";"21395188.85";"160543"
"ANDRES SANCHEZ_SP";"ANDRES SANCHEZ";"SP";"PT";"795600";"178974"
"ANDRÉ ABDON_AP";"ANDRÉ ABDON";"AP";"PRB";"1977187.38";"178831"
"ANGELIM_AC";"ANGELIM";"AC";"PT";"3298014.02";"178837"
"ANTONIO BRITO_BA";"ANTONIO BRITO";"BA";"PTB";"23092752.43";"160553"
"ANTONIO BULHÕES_SP";"ANTONIO BULHÕES";"SP";"PRB";"36366895.4";"141383"
"ANTONIO IMBASSAHY_BA";"ANTONIO IMBASSAHY";"BA";"PSDB";"14331478.16";"160530"
"ANTÔNIO JÁCOME_RN";"ANTÔNIO JÁCOME";"RN";"PMN";"500000";"178950"
"ANÍBAL GOMES_CE";"ANÍBAL GOMES";"CE";"PMDB";"44928192.94";"74212"
"ARIOSTO HOLANDA_CE";"ARIOSTO HOLANDA";"CE";"Pros";"14959071.81";"74103"
"ARLINDO CHINAGLIA_SP";"ARLINDO CHINAGLIA";"SP";"PT";"24741529.16";"73433"
"ARNALDO FARIA DE SÁ_SP";"ARNALDO FARIA DE SÁ";"SP";"PTB";"44164747.77";"73434"
