Autor.id,TEMAS
ABEL MESQUITA JR._RR,"polícia, religião"
ADEMIR CAMILO_MG,portos
AELTON FREITAS_MG,"fenaporto, mucuri, pirapó"
AFONSO FLORENCE_BA,religião
AFONSO HAMM_RS,"esporte, arquitetura e autismo"
AFONSO MOTTA_RS,"política, agricultura"
AGUINALDO RIBEIRO_PB,"agricultura, construção"
ALAN RICK_AC,"construção, meiofios, calçados"
ALBERTO FILHO_MA,"saúde, atendimentos, mucuriba"
ALBERTO FRAGA_DF,"construção, meiofios, calçados"
ALCEU MOREIRA_RS,"esporte, arquitetura e autismo"
ALESSANDRO MOLON_RJ,"política, agricultura"
ALEX CANZIANI_PR,"autismo, esporte, jiujitsu, massagueira"
ALEXANDRE LEITE_SP,"fenaporto, mucuri, pirapó"
ALEXANDRE SERFIOTIS_RJ,"política, agricultura"
ALFREDO KAEFER_PR,portos
ALFREDO NASCIMENTO_AM,agroturismo
ALICE PORTUGAL_BA,"saúde, itapiranga, calçados"
ALIEL MACHADO_PR,"esporte, construção"
ANDERSON FERREIRA_PE,"autismo, esporte, educação"
ANDRE MOURA_SE,"construção"
ANDRES SANCHEZ_SP,"esporte"
ANDRÉ ABDON_AP,"política, agricultura"
ANGELIM_AC,"política, agricultura"
ANTONIO BRITO_BA,"energia, construção, infraestrutura, autismo"
ANTONIO BULHÕES_SP,"fenaporto, mucuri, pirapó"
ANTONIO IMBASSAHY_BA,"energia, construção, infraestrutura, autismo"
ANTÔNIO JÁCOME_RN,"política, agricultura"
ANÍBAL GOMES_CE,"construção, cultura"
ARIOSTO HOLANDA_CE,"construção"
ARLINDO CHINAGLIA_SP,"infraestrutura, elétrica, calçados"
ARNALDO FARIA DE SÁ_SP,"infraestrutura, elétrica, calçados"
ARNALDO JARDIM_SP,"infraestrutura, elétrica, calçados"
ARNALDO JORDY_PA,"mananciais, máquinas, escavadeiras"
ARNON BEZERRA_CE,agroturismo
ARTHUR LIRA_AL,religião
ARTHUR OLIVEIRA MAIA_BA,religião
ARTHUR VIRGÍLIO BISNETO_AM,"política, agricultura"
ASSIS CARVALHO_PI,"construção, agricultura"
ASSIS DO COUTO_PR,educação
AUGUSTO CARVALHO_DF,"energia, construção, infraestrutura, autismo"
AUGUSTO COUTINHO_PE,religião
AUREO_RJ,esporte
BALEIA ROSSI_SP,esporte
BEBETO_BA,"saúde, itapiranga, calçados"
BENEDITA DA SILVA_RJ,esporte
BENJAMIN MARANHÃO_PB,"esporte, arquitetura e autismo"
BETO FARO_PA,"saúde, atendimentos, mucuriba"
BETO MANSUR_SP,"polícia, religião"
BILAC PINTO_MG,"esporte, arquitetura e autismo"
BOHN GASS_RS,"autismo, esporte, educação"
BONIFÁCIO DE ANDRADA_MG,"construção"
BRUNA FURLAN_SP,"construção"
BRUNO ARAÚJO_PE,"esporte, arquitetura e autismo"
CABUÇU BORGES_AP,"política, agricultura"
CACÁ LEÃO_BA,"agricultura"
CAETANO_BA,"política, agricultura"
CAPITÃO AUGUSTO_SP,esporte
CARLOS ANDRADE_RR,"polícia, religião"
CARLOS BEZERRA_MT,"autismo, esporte, educação"
CARLOS EDUARDO CADOCA_PE,portos
CARLOS GOMES_RS,"saúde, itapiranga, calçados"
CARLOS MANATO_ES,"esporte, arquitetura e autismo"
CARLOS MELLES_MG,"infraestrutura, elétrica, calçados"
CARLOS SAMPAIO_SP,"saúde, itapiranga, calçados"
CARLOS ZARATTINI_SP,"fenaporto, mucuri, pirapó"
CARMEN ZANOTTO_SC,"autismo, esporte, educação"
CELSO JACOB_RJ,"construção, meiofios, calçados"
CELSO MALDANER_SC,portos
CELSO RUSSOMANNO_SP,"infraestrutura, elétrica, calçados"
CHICO ALENCAR_RJ,"construção, meiofios, calçados"
CHICO D'ANGELO_RJ,"energia, construção, infraestrutura, autismo"
CHICO LOPES_CE,"saúde,construção"
CLAUDIO CAJADO_BA,"polícia, religião"
CLEBER VERDE_MA,"saúde, atendimentos, mucuriba"
CONCEIÇÃO SAMPAIO_AM,"saúde, itapiranga, calçados"
COVATTI FILHO_RS,"saúde, itapiranga, calçados"
CÉLIO SILVEIRA_GO,"construção"
CÉSAR HALUM_TO,"construção,cultura"
CÉSAR MESSIAS_AC,"mananciais, máquinas, escavadeiras"
DAGOBERTO_MS,"energia, construção, infraestrutura, autismo"
DAMIÃO FELICIANO_PB,"esporte, arquitetura e autismo"
DANIEL ALMEIDA_BA,"polícia, religião"
DANILO FORTE_CE,"construção"
DANRLEI DE DEUS HINTERHOLZ_RS,"autismo, esporte, educação"
DARCÍSIO PERONDI_RS,"esporte, arquitetura e autismo"
DELEY_RJ,esporte
DIEGO ANDRADE_MG,"energia, construção, infraestrutura, autismo"
DIEGO GARCIA_PR,"construção, meiofios, calçados"
DILCEU SPERAFICO_PR,educação
DIMAS FABIANO_MG,"infraestrutura, elétrica, calçados"
DOMINGOS NETO_CE,"agricultura, construção"
DOMINGOS SÁVIO_MG,"energia, construção, infraestrutura, autismo"
DR. JORGE SILVA_ES,"infraestrutura, elétrica, calçados"
DUARTE NOGUEIRA_SP,"infraestrutura, elétrica, calçados"
DÂMINA PEREIRA_MG,"saúde, itapiranga, calçados"
DÉCIO LIMA_SC,portos
EDINHO ARAÚJO_SP,"educação, esporte"
EDINHO BEZ_SC,portos
EDIO LOPES_RR,"construção, meiofios, calçados"
EDMAR ARRUDA_PR,"educação, esporte"
EDUARDO BARBOSA_MG,"educação, esporte"
EDUARDO BOLSONARO_SP,"energia, construção, infraestrutura, autismo"
EDUARDO CUNHA_RJ,"polícia, religião"
EDUARDO DA FONTE_PE,"esporte, arquitetura e autismo"
EFRAIM FILHO_PB,"saúde, atendimentos, mucuriba"
ELCIONE BARBALHO_PA,portos
ELI CORRÊA FILHO_SP,"fenaporto, mucuri, pirapó"
ENIO VERRI_PR,"saúde, itapiranga, calçados"
ERIKA KOKAY_DF,"construção, meiofios, calçados"
ERIVELTON SANTANA_BA,"educação, esporte"
EROS BIONDINI_MG,"infraestrutura, elétrica, calçados"
ESPERIDIÃO AMIN_SC,portos
EVAIR DE MELO_ES,educação
EVANDRO ROMAN_PR,"construção, meiofios, calçados"
EXPEDITO NETTO_RO,educação
FABIO REIS_SE,"saúde, itapiranga, calçados"
FAUSTO PINATO_SP,"saúde, itapiranga, calçados"
FELIPE BORNIER_RJ,"política, agricultura"
FELIPE MAIA_RN,"saúde, atendimentos, mucuriba"
FERNANDO COELHO FILHO_PE,"polícia, religião"
FERNANDO FRANCISCHINI_PR,"construção, meiofios, calçados"
FERNANDO JORDÃO_RJ,"saúde, itapiranga, calçados"
FERNANDO TORRES_BA,"polícia, religião"
FLAVIANO MELO_AC,"saúde, itapiranga, calçados"
FLÁVIA MORAIS_GO,"política, agricultura"
FRANCISCO CHAPADINHA_PA,"saúde, itapiranga, calçados"
FRANCISCO FLORIANO_RJ,"polícia, religião"
FÁBIO FARIA_RN,religião
FÁBIO RAMALHO_MG,"infraestrutura, elétrica, calçados"
FÁBIO SOUSA_GO,"construção, meiofios, calçados"
FÉLIX MENDONÇA JÚNIOR_BA,"polícia, religião"
GABRIEL GUIMARÃES_MG,religião
GENECIAS NORONHA_CE,"construção"
GEOVANIA DE SÁ_SC,"construção, meiofios, calçados"
GERALDO RESENDE_MS,portos
GIACOBO_PR,educação
GIOVANI CHERINI_RS,"esporte, arquitetura e autismo"
GIUSEPPE VECCI_GO,"autismo, esporte, jiujitsu, massagueira"
GIVALDO CARIMBÃO_AL,"educação, esporte"
GLAUBER BRAGA_RJ,"construção, meiofios, calçados"
GONZAGA PATRIOTA_PE,"saúde, itapiranga, calçados"
GORETE PEREIRA_CE,"construção"
GUILHERME MUSSI_SP,"infraestrutura, elétrica, calçados"
HELDER SALOMÃO_ES,"saúde, itapiranga, calçados"
HENRIQUE FONTANA_RS,"autismo, esporte, educação"
HERCULANO PASSOS_SP,"saúde, itapiranga, calçados"
HERMES PARCIANELLO_PR,"educação, esporte"
HEULER CRUVINEL_GO,"autismo, esporte, jiujitsu, massagueira"
HIRAN GONÇALVES_RR,"polícia, religião"
HUGO LEAL_RJ,"construção, meiofios, calçados"
HUGO MOTTA_PB,"saúde, atendimentos, mucuriba"
HÉLIO LEITE_PA,agroturismo
IRACEMA PORTELLA_PI,"construção"
IRAJÁ ABREU_TO,"construção"
IRMÃO LAZARO_BA,"saúde, itapiranga, calçados"
IVAN VALENTE_SP,"energia, construção, infraestrutura, autismo"
IZALCI_DF,"mananciais, máquinas, escavadeiras"
JAIME MARTINS_MG,"construção"
JAIR BOLSONARO_RJ,portos
JANDIRA FEGHALI_RJ,"construção, meiofios, calçados"
JANETE CAPIBERIBE_AP,"política, agricultura"
JEAN WYLLYS_RJ,"energia, construção, infraestrutura, autismo"
JEFFERSON CAMPOS_SP,"infraestrutura, elétrica, calçados"
JERÔNIMO GOERGEN_RS,"esporte, arquitetura e autismo"
JHC_AL,"saúde, itapiranga, calçados"
JHONATAN DE JESUS_RR,"saúde, itapiranga, calçados"
JOAQUIM PASSARINHO_PA,"construção, meiofios, calçados"
JORGE CÔRTE REAL_PE,"infraestrutura, elétrica, calçados"
JORGE TADEU MUDALEN_SP,"infraestrutura, elétrica, calçados"
JORGINHO MELLO_SC,portos
JOSE STÉDILE_RS,portos
JOSUÉ BENGTSON_PA,"saúde, atendimentos, mucuriba"
JOSÉ AIRTON CIRILO_CE,"construção"
JOSÉ CARLOS ALELUIA_BA,"construção, meiofios, calçados"
JOSÉ CARLOS ARAÚJO_BA,"polícia, religião"
JOSÉ GUIMARÃES_CE,"construção"
JOSÉ MENTOR_SP,"infraestrutura, elétrica, calçados"
JOSÉ NUNES_BA,religião
JOSÉ OTÁVIO GERMANO_RS,"autismo, esporte, educação"
JOSÉ PRIANTE_PA,"autismo, esporte, jiujitsu, massagueira"
JOSÉ REINALDO_MA,"construção"
JOSÉ ROCHA_BA,religião
JOVAIR ARANTES_GO,"infraestrutura, elétrica, calçados"
JOÃO ARRUDA_PR,"autismo, esporte, jiujitsu, massagueira"
JOÃO CAMPOS_GO,"energia, construção, infraestrutura, autismo"
JOÃO CARLOS BACELAR_BA,"saúde, atendimentos, mucuriba"
JOÃO DANIEL_SE,"política, agricultura"
JOÃO DERLY_RS,"saúde, itapiranga, calçados"
JOÃO RODRIGUES_SC,"energia, construção, infraestrutura, autismo"
JULIO LOPES_RJ,"infraestrutura, elétrica, calçados"
