"Autor.id";"TEXTO_POR_AUTOR"
"ABEL MESQUITA JR._RR";"eletrificação rural município amajari pavimentaçãocalçadas meio fio sarjetas sede município eletrificação rural município bonfimrr"
"ADEMIR CAMILO_MG";"capacitação mão obra profissional município coração jesusmg construção centro eventos implantação modernização infraestrutura esportiva reforma quadra poliesportiva coberta sede construção poliesportiva demarcação piso comunidade roseno reforma ampliação quadra poliesportiva implantação modernização infraestrutura 17º festa ouroverdense 4ª festa café festa peão boiadeiro serra saudade mg 11ª cavalgada félix minas pavimentação vias públicas construção centro comercialização produção agricultura familiar local denominado rua garça parque residencial jair pinto coelho snº centro felisburgo mg pavimentação trecho rua fabricio mendes rua altamira calçamento ruas esmeralda crisolita rubi parte ruas alexandrita crizoberilo sede deste municipio catujimg aquisição motoniveladora recuperação estradas vicinais facilitar escoamento produção agrícola interligar municípios circunvizinhos melhorar condições transporte população promover desenvolvimento região aquisição caminhão baú pavimentacao ruas eugenia altina reis rua joao oliveira viana rua florentino adao oliveira rua viuvas rua magalhaes pinto rua margem br 381 rua sao luiz rua curitiba rua augusto alves rocha rua durval martins pereira avenid construção parque feiras eventos agropecuários rua adolfo fernandes silva nº 340 município serra saudademg execução rede esgoto rua jk trecho rua domingos costa bairro maria cecilia rua uruguai rua estados unidos bairro nações pavimentação rua brasil trecho bairro nações rua c rua f conjunto habitacional baroncio bezerra cabral bairro pantanal reforma praça margens br 116 sede municipio catujimg pavimentação asfaltica bairro boa esperança aquisição trator implementos agrícolas finalidade atender forma articulada sustentável protutores rurais possibilitando fortalecimento produção agropecuária geração emprego renda reforma mercado municipal situado praça mercado sn sede dando melhorias comercialização produção agricultores familiares região aquisição caminhão implemento pipa pavimentação rua uruguai rua estados unidos bairro nações frei inocênciomg aquisição trator agrícola distribuidor adubo orgânico carreta basculante roçadeira coleta transporte destinação lixo urbano rural esgotamento fossas residências comércios geral através sucção bombeamento transporte d aquisicao maquinas 01um trator agricola implementos 01um caminhao equipado bascula o1um caminhao equipado carroceria construção ponte sob córrego rio pretinho estrada vicinal liga município nova belém córrego rio pretão zona rural município nova belém mg pavimentação ruas sede municipio alvenaria poliédricamachacalis é pequena cidade interior localizada vale mucuri ainda carente infraestrutura viária urbana vem junto secretaria solicitar apoio pavimentação aquisição caminhão equipado tanque pipa trator agrícola pneus equipamentos agrícolas apoio produtores rurais produção cultivo produções agrícolas cascalhamento estradas vicinais pavimentação alvenaria polimétrica estradas vicinais fazem ligação comunidades comunidade roque estrada vicinal liga comunidade norte comunidade maravilha estrada vicinal liga comunidade povoado canaã brasi aquisição 01 motoniveladora articulada ampliação rede pública iluminação bairros aeroporto avenida buritis bairro buritis município coração jesusmg pavimentação rua sebastião rocha bloquete pre moldado concreto pavimentação vias rua generosa rua francisco araújo rua dona lilia rua projeto rua dona ledoína rua josé vieira pinto aquisição caminhão tanque pipa atender diretamente cadeia produtiva leite agricultura fruticultura aquisição caminhão truck 0 km basculante 10 m3 aquisição caminhão toco 0 km basculante encascalhamento estradas vicinais desolvimento escoamento produção agropecuaria agricultores faliares municipio construção ponte avenida ypês ligando bairro boa vista centro calçamento diversas ruas municipio agostinho antonio santos silas inacio geralda maria conceição aquisição trator agrícola grade aradora município espinosamg construção ponte ligação bairro milionários bairro josé miguel moreira pavimentação blocos prémoldados concreto diversas ruas bairros milionários josé miguel moreira moreira sales distrito boa união recapeament apoio projetos infraestrutura turistica contrução parque eventos apoio projetos infraestrutura turística construçao infraestrutura arena rodeio arquibancadas etapa i contemplar logradouro s localizado s mancha urbana município martins soares bairros centro geraldo vicente povoado franco serviços infraestrutura básica pavimentação drenagem permitindo transeunt estruturacao rede servicos protecao social especial aquisicao bens pavimentação prémoldado concreto vias públicas município frei gasparmg aquisição patrulha mecanizada 1 motoniveladora apoio atividade agropecuária município extensão rede iluminação pública trecho br 116 sendo percurso posto policia rodviaria federal bairro diogo posto abastecimento teofilo otoni bairro vila ramos iluminação trecho br 116 perimetro urbano catuji extensão rede distribuição urbana av rio bahia total obra 3293 m aquisição patrulha mecanizada município felisburgomg aquisição tratores implementos aquisição patrulha mecanizada implementos agrícolas construção parque exposições município bertópolis mg rua governador valadares sn centro aréa 235740m² reforma mercado municipal município malacacheta mg av pedro arantes sn centro aréa 125440 m² const aquisição motoniveladora encascalhamento estrada vicinal liga entroncamento povoado cabeceira vargem limite município francisco povoado vila santos reis encascalhamento estrada vicinal liga sede município povoado judas aquisição equipamento material permanente unidade atenção especializada saúde pavimentação blocos prémoldados concreto diversas vias públicas cidade mantena implantação pavimentação vias públicas urbanas implantação pavimentação vias públicas implantação infraestrutura urbana pavimentação vias públicas sede município pavimentação pré moldados concreto diversos logradouros públicos realizar qualificação mão obra vistas obter excelência recepção turística foco copa 2014 05 municípios estado minas gerais aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde pavimentação vias urbanas pavimentação asfáltica vias públicas sede município pavimentação vias publicas urbanas diversas ruas município pavimentação prémoldados concreto vias públicas município frei gasparmg pavimentaçao recapeamento vias publicas municipio itapeva pavimentação bloquete sextavado 1521m² rua francisco ccosta 980m² rua heliodora rosa município cuparaque pavimentação cbuq concreto betuminoso usinado quente ruas anésio pereira silva josé gonçalves paula raimundo ribeiro matos pavimentação blocos prémoldados concreto diversas vias públicas cidade mantena pavimentação blocos prémoldados concreto diversas vias públicas cidade mantena implantação pavimentação vias públicas urbanas execução obras microdrenagem calçadas pavimentação bloquet hexagonalrigido concretodas ruas trav berto gonçalves antonio francisco rosa trechos joão costa aguiar pavimentação bloquete ruas bairro zulma silveira adalberto batista pavimentação vias pãºblicas etapa 1 pavimentação asfáltica cbuq diversas vias urbanas acessibilidade meio fio sarjeta drenagem pluvial município romãomg produção gravação dvd artistas titane pereira viola participação grupos musicais araçuai implantação pavimentação blocos prémoldados concreto diversas vias públicas urbanas cidade mantena"
"AELTON FREITAS_MG";"aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde aquisição materiais consumo materiais médicohospitalares uso único aquisição material médicohospitalar consumo estruturação rede serviços proteção social básica reforma centro público convivência idoso cci manutenção unidade saúde aquisição mataburros reforma ponte jaguarinha execução recapeamento zona urbana campina verde mg pavimentação rua justino dias bairro santo antonio construção pavimentação asfáltica lougradouros públicos município ituramamg guias sarjetas calçadas drenagem água pluvial capeamento asfáltico bairro novo horizonte recapeamento vias publicas municipio deltamg construção praça bairro azaleia recapeamento vias públicas município carneirinho construção pavimentação asfáltica lougradouros públicos município ituramamg guias sarjetas calçadas drenagem água pluvial pavimentação guias sarjetas calçadas campina verde distrito honoropolis recapeamento asfáltico vias públicas construção passeios rampas acessibilidade bairros município nova ponte pavimentação asfáltica execução guias sarjetas ruas la paz assunção colômbia município cássiamg implantação pavimentação asfáltica avenida jonas vilela franco recapeamento asfaltico cbuq vias públicas município cachoeira dourada mg pavimentação trechos urbanos bairros capinzal campos reforma praça esportes municipal monte belo mg pavimentação asfáltica construção pavimentação asfáltica rede drenagem água pluvial diversos logradouros públicos cidade ituramamg recapeamento ruas município jacuí implantação pavimentação asfáltica vias públicas pavimentação asfáltica município conceição alagoas recapeamento asfáltico vias urbanas requalificação parque exposições através instalações banheiros femininos masculinos público reforma salão eventos fica dentro parque reforma áreas verdes bairro dourados iii através paisagismo medidas moderação tráfego pavimentação vias públicas pavimentação vias urbanas município implantação recapeamento pavimentação vias públicas município três pontas mg implantação passeios públicos melhoria infraestrutura urbanapavimentação recapeamento vias construção sarjetas asfaltamento ruas avenidas públicas cidade pavimentação asfaltica vias publicas santa julianamg implantação modernização infraestrutura esportiva adequação trechos estradas vicinais através execução obras pavimentação bairros rurais jóia tapir compra rocadeira articulada rolo compactador vibratório outros implementos manutenção estradas rurais aquisição patrulha mecanizada aquisição patrulha mecanizada aquisição equipamento material permanente unidade atenção especializada saúde reforma unidade atenção especializada saúde construção 02 pontos ônibus total infraestruturapromovendo conforto segurança população município uberabamg implantação passeios públicos aquisição equipamento material permanente atenção especializada saúde bucal ampliação d0 sistema tratamento esgotamento sanitário município cachoeira douradamg aquisição equipamentos médicos mobiliários reforma construção cobertura quadra poliesportiva ciacp centro integrado apoio criança paulense construção quadra poliesportiva apoiar realização 21ª expopeg exposição agropecuária gurinhatãmg 04 07 dezembro2014 aquisição patrulha mecanizada recuperação trechos estradas vicinais através execução obras pavimentação aquisição 40 mataburros ferro instalação estradas rurais município campina verde aquisição patrulha mecanizada aquisição máquina recuperação estradas vicinais aquisição patrulha mecanizada implementos ampliação parque exposições aquisição patrulha mecanizada aquisição implementos agrícolas incentivo fomento produção agropecuária pequenos médios produtores rurais município aquisição lonas padronização feiras livres município uberabamg aquisição equipamentos unidade terapia intensiva manutenção unidade saúde construção praça pública dona sinhá município guaxupémg apoio projetos infraestrutura turística construção terminal rodoviário intermunicipal aquisição equipamentos permanentes aquisição bens permanentes município muzambinho mg aquisição equipamentos academias ar livre praças públicas uberabamg aquisição bens permanentes município ituramamg recuperação estradas vicinais revitalização mercado municipal município machadomg aquisição patrulha mecanizada aquisição patrulha mecanizada aquisição patrulha mecanizada apoio realização megaleite 2011 8ª exposição brasileira agronegócio leite uberabamg ser realizado 26 junho 03 julho 2011 projeto aquisição adubos fertilizantes reforma revitalização praça tiradentes realizar natal cultural comemoração 30 anos fundação cultural uberaba meio festividades natal durante período 10 24 dezembro 2015 cidade uberabamg reúne aproximadamente 50 mil pessoas 14 dias realizar ii festival nacional viola uberaba cine teatro municipal vera cruz músicas originais letra melodia inéditas duas categorias instrumental vocal selecionados 24 vinte quatro músicas duplas solos c reforma pronto socorro realização infraestrutura município campina verde mg tais pavimentação guias calçadas recapeamento asfáltico pavimentação rua justino dias pavimentação asfáltica pavimentação asfaltica vias publicas santa julianamg recapeamento asfáltico vias urbanas pavimentação asfaltica partes ruas avenidas cidade limeira oeste mg construção pavimentação asfáltica lougradouros públicos município ituramamg pavimentação asfáltica cbuq guia extrusada ruas município muzambinhomgrua josé inacaratorua prof heloisa helena diperua josé carlos rossi eliasrua ver vergilio barbieri construção calçadas vias publicas pavimentação ruas pavimento vias públicas execução pavimentação bloquetes assentamento meio fio município itajubá pavimentar trecho final rua cristino ribeiro rezende objeto presente convenio é aquisição instalação abrigos cada saidas tanto sede demais comunidades bairros assim distribuidos josé barra 3 abrigos sendo saída furnas saída cachoeira pavimentação tsd trechos ruas antônio firmiano josé alvim vias urbanas situadas vila palmital minas município cabeceira grande recapeamento asfaltico vias públicas sede povoados capeamento asfáltico ruas avenidas bairro novo horizonte projeto capacitação produtores rurais produção comercialização produtos hortifrutigranjeiros visando fortalecimento cooperativismo associativismo comunidades rurais aquisição patrulha macanizada aquisição patrulha mecanizada aquisição patrulha mecanizada apoio realização megaleite 2013 10ª exposição brasileira agronegócio leite uberaba mg ser realizada 3006 07072013 aquisio patrulha mecanizada aquisição patrulha mecanizada aquisição patrulha mecanizada aquisição patrulha mecanizada aquisição patrulha mecanizada construção pavimentação asfática logradouros públicos guias sargetas calçadas drenagem água pluvial município ituramamg recapeamento vias recapeamento vias públicas urbanas implantação passeios públicos município visto possuem pavimentação drenagem pavimentação vias recapemanto asfáltico via pública pavimentação asfáltica vias pavimentação asfáltica vias públicas urbanas município conceição alagoasmg planejamento urbanoconstrução pavimentação asfáltica diversos logradouros públicos guias sargetas calçadas drenagem água pluvial município ituramamg pavimentação vias publicas município cristália calçamento drenagem ruas dentro perímetro urbano bairros próximos centro periferia planejamento urbanoinfraestrutura urbanaconstrução pavimentação asfáltica meio meio sarjetas diversos logradouros públicos município carneirinhomg realizar pavimentação asfáltica cbuq vias públicas núcleo desenvolvimento urbano peirópolis município uberabamg aquisição implantação academias ar livre implantação dois campos futebol society revestidos grama sintética aquisicao equipamento material permanente unidade atencao especializada saude aquisição equipamentos materiais permanentes execução recapeamento asfáltico sarjetas município ipiaçu aquisição equipamentos proteção social especial aquisição material permanente estruturação creas centro referência especializado assistência social aquisição equipamento material permanente estruturação unidades atenção especializada saúde"
"AFONSO FLORENCE_BA";"pavimentação paralelepípedo diversas ruas sede município teofilândiabahia execução pavimentação paralelepípedo meiofio econômico passeio colchão areia ruas sede município pavimentação paralelos vias públicas urbanas meio fio rampas acessibilidade bem drenagem pontos necessários êxito empreendimento pavimentação paralelepípedos drenagem superficial rua f loteamento pindorama sede município ipirá pavimentação ruas pavimentação ruas município itagi ba pavimentação ruas mira serra d pedro i sede município uibaí comimplementação passeios públicos placas sinalização execução obra pavimentação vias públicas sede município ibitiaraba realização obra pavimentação ruas distrito jacunâ município jaguarari pavimentação paralelepípedo município canarana bahia pavimentação vias urbanas município santa maria vitóriaba pavimentação paralelepípedo localidades santa rosa salgadália laginha município conceição coite pavimentação vias urbanas município pau brasil aquisição equipamento material permanente unidade atenção especializada saúde reforma instalações físicas centro cultura olívia barradas adequação normas acessibilidade dependências contempladas banheiros público camarins criação rampas acesso salas dependências construção unidade atenção especializada saúde"
"AFONSO HAMM_RS";"aquisição trator equipamento agrícola pavimentação estradas vicinais vila progresso aquisição trator agrícola construção pavilhão aquisição camara fria aquisição equipamentos agricolas aquisição 1 trator equipamentos agrícolas aquisição patrulha mecanizada escavadeira hidráulica implantação matrizeiro bovino leiteiro aquisição trator equipamentos agrícolas aquisição trator implementos aquisição patrulha agrícola aquisição equipamentos agrícolas aquisição equipamentos agrícolas aquisição trator implementos agrícolas aquisição 1 caminhão caçamba centro cultural tradicionalista km 667 br153 área urbana município aceguá pavimentação drenagem trecho estrada liga localidade travessão alfredo chaves linha 40mirante gelain flores cunha rs pavimentação ruas sede município três cachoeiras infraestrutura urbana modalidade pavimentação asfáltica pavimentação ruas município sarandi pavimentação ruas centrais recapeamento vias públicas urbanas município cruzeiro sulrs construção quadra coberta aquisição equipamentos agrícolas aquisição equipamentos patrulha agrícola aquisição patrulha agrícola mecanizada patrulha agrícola mecanizada aquisição patrulha agrícola mecanizada aquisição calibrador eletrônico frutas composto seguintes itens 1 virador caixas inversosr frequência controle velocidade 1cv 01 esteira alimentação transportador correria minimo 180x250m 01 módulo aquisição patrulha agrícola mecanizada aquisição patrulha agrícola aquisição patrulha mecanizada patrulha agrícola mecanizada aquisição máquinas implementos agrícolas pavimentação estradas vicinais estruturacao rede servicos protecao social basica reforma centro referencia assistencia social cras aquisição patrulha mecanizada aquisição patrulha mecanizada município mato letãors aquisição patrulha mecanizada aquisição patrulha mecanizada patrulha mecanizada aquisição máquinas equipamentos agrícolas aquisição patrulha agrícola mecanizada aquisição equipamentos agrícolas aquisição máquinas equipamentos agrícolas aquisição patrulha agrícola mecanizada aquisição máquinas equipamentos agrícolas aquisição máquinas equipamentos pavimentacao asfaltica rua frederico guilherme bier acessos objeto construção praça pública bairro luiz pavimentação blocos concreto rua senhora navegantes rua 20 setembro anselmo amorim aquisição máquinas equipamentos agrícolas aquisição patrulha agrícola mecanizada aquisição máquinas equipamentos agrícolas rodoviários aquisição patrulha agrícola mecanizada aquisição patrulha agrícola mecanizada aquisição máquinas equipamentos agrícolas aquisição patrulha agrícola mecanizada aquisição patrulha agrícola mecanizada aquisição patrulha agrícola mecanizada aquisição patrulha agrícola aquisição patrulha agrícola mecanizada aquisição caminhão caçamba aquisição sete colhedeiras forragens sete kits forragem aquisição caminhão basculante novo aquisição 01umbritador móvelpequeno porterebritador aquisição patrulha mecanizada aquisição patrulha mecanizada aquisição caminhão carroceria aquisição 1 segadeira 1 ansinho enleirador 1 enfardadeira 1 colhedeira forragens 1 carreta agrícola forrageira tratorizada aquisição trator agrícola equipamento agrícola aquisição equipamentos agropecuários aquisição patrulha agrícola apoio projetos desenvolvimento setor agropecuário estado rio grande sul aquisição instalação sistema micro aspersão estufa existente aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente aquisição equipamento material permanente unidade atenção especializada saúde ampliacao unidade basica saude aquisição equipamentos material permanente unidade atenção especializada saúde aquisição equipamento material permanente estruturação unidade atenção especializada saúde aquisição equipamentos materiais permanentes aquisição equipamentos materiaispermanentes revitalização praça vicente pallotti pavimentação asfaltica aporte atratividades turísticas paranaguá poente nova roma sul rs 1ª etapa construção portal pórtico centro informações entrada cidade pinto bandeira repavimentação alfáltica rua 21 abril ruas joana assis brasil início cruzamento rua mércio marques cordeiro pavimentação sinalização drenagem pluvial passeio rua osvaldo aranha trecho restante piratinirs pavimentação vias urbanas cidade chapadars calçamento rua raimundo pereira vila osvaldo kroeff cambará sul 1ª etapa pavimentação acesso ginásio poliesportivo localizado área central cidade pavimentação vias urbanas bairro rui barbosa município arroio meio rs calçamento paralelepípedos pedras regulares ruas município ipiranga sul rs pavimentação sede município execução pavimentação asfaltica ruas municipio gramado rs pavimentação urbana ruas centrais município pavimentação vias urbanas município campinas sul pavimentação poliédrica revestimento pedras irregulares trata pavimentação trecho rua neuza paes amaral bairro fonseca construção passeio público pavimentação drenagem pluvial vias urbanas pavimentação asfáltica concreto betuminoso usinado quente cbuq avenida josé tussi trecho 3700 metros quadrados extensão gestao politica desenvolvimento urbano pavimentar pedras irregulares basalto via urbana implantação 3000m² pavimentação blocos concreto intertravados tipo unistein 8 cm expessura 35 mpa resistência bairro centro avenida 25 julho parte 1 obra infraestrutura urbana cidade pelotas pavimentação urbana execução pavimentação 153753m²mil quinhentos trinta sete virgula cinquenta tres metros quadrados blocos intertravados concreto prémoldado espessura mínima oito centímetros resistência mínima 35mpa rua artur costa ações infraestrutura urbana pavimentação av friedrich paul schumacher pavimentação pedras irregulares ruas avenidas cidade prejeto pavimentação havera melhora siginficativa acesso moradores deste bairro expositores frequentadores eventos ocorre parque sindicato ruralonde toda população beneficiada durante finais semana pavimentação asfáltica rua luiz tombesi pavimentação rua maria anunciação godói acesso universidade federal pampa bairro malafaia pavimentação drenagem pluvial passeio sinalização av seis julho trecho 1800m² av 19 novembro trecho 1800m² município piratinirs pavimentação ruas perímetro urbano município chapada rs apoio política nacional desenvolvimento urbano santa mariars ações infraestrutura urbana pavimentação avenida jacarandá asfaltamento rua usina pavimentação passeio público calçada blocos concreto tipo holandês dimensões 1000 cm x 2000 cm x 500 cm vias urbanas município barãors pavimentação pedras regulares basalto meiofio concreto drenagem pluvial vias urbanas bairro bela vista município arroio meio rs pavimentação sede município presente objeto objetivo pavimentação ruas bairro arcoiris blocos tipo unisten município cerritors pavimentação meiofio rua dr ferreira implantação 3560m² pavimentação blocos concreto intertravados tipo unistein 8cm expessura 35mpa resistência bairro centro avenida vinte cinco julhoparte3 pavimentação via passo simão pavimentação vias urbanas construção quadra esporte município santiagors aquisição patrulha agrícola mecanizada aquisição patrulha agrícola mecanizada aquisição máquinas equipamentos agrícolas aquisição patrulha agrícola mecanizada aquisição patrulha agrícola mecanizada patrulha mecanizada equipamentos agricolas aquisição patrulha agrícola mecanizada aquisição patrulha agrícola mecanizada aquisição patrulha agrícola aquisição máquinas equipamentos agro industria aquisição patrulha agrícola macanizada aquisição máquinas equipamentos agrícolas aquisição patrulha agrícola patrulha agrícola mecanizada ampliação centro eventos segunda etapa pavimentação poliédrica pedras irregulares estrada linha 11 localidade rincão letos zona rural bozanors construção quadra poliesportiva construção academias ar livre implantação eou modernização espaços esportivos recreação lazer município constantina aquisição academias ar livre implantação espaço esportivo readequação estrutura física ginásio municipal esportes implantação academias ar livre pavimentação via pública município restinga seca rs pavimentação meiofio construção calçadas acesso hospital senhora glória rua padre francisco hilman ruas dr ferreira av luiz lima faria implantação pavimentação vias publicas urbanas utilização blocos pré moldados intertravados construção quadra coberta aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamentos hospitalares hospital roque getulio vargas rs aquisição equipamentos materias permanentes aquisição equipamentos materiais permanentes hospital caridade canguçu unidade atenção especializada saúde localizado município canguçurs aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento aquisição equipamentos estruturação casa mel implantação pavimentação asfaltica avenida brasilia cidade barracão rs pavimentação asfáltica vias urbanas perímetro urbano município cruzaltense rs implantação pavimentação vias publicas urbanas utilização blocos pré moldados intertravados pavimentação vias urbanas pavimentação calçamento pavimentacao vias urbanas municipio sao marcos pavimentação três mil quinhentos metros rua nicolau silveira abraão obras pavimentação asfáltica desenvolvimento urbano município constantinars calçamento vias urbanas pavimentação urbana tipo calçamento blocos concreto intertravados área 416650 m² av 04 joão casagrande rua 35 angelo campagnolo cidade nova alvorada pavimentação ruas avenidas morro redondo recapeamento vias públicas urbanas pavimentação rua bairro caixa d´água implantação pavimentação vias públicas urbanas recapeamento pavimentos pmf pavimentação vias acesso bairros município pavimentação rua quinze novembro bairro santa albina cidade minas leão rs implantação pavimentação vias públicas urbanas ruas gervásio tavares josé bonifácio tiradentes município pinheiro machadors capeamento asfáltico rua maximiniano tupinambá costa ampliação passeios acessibilidade rua presidente vargas pavimentação av arthur lange município turuçu implantação pavimentação vias públicas urbanas município mato leitãors pavimentação recapeamento vias públicas município maraurs pavimentação ruas erechim bom jesus rodeio bonito vila santana pavimentação ruas tiradentes dr pena conde porto alegre dr veríssimo tiradentes eurico salis construção academias ar livre município torres construção quadra poliesportiva coberta construção quadra poliesportiva coberta escola pacheco prates santana livramento implantação modernização infraestrutura esporte educacional recreativo lazer reforma quadra poliesportiva construção quadra esportiva coberta ampliação unidade basica saúde município fortaleza valosrs implantação infraestrutura turistica parque municipal rodeios david lima jacobi município barracão rs construcao centros publicos comercializacao produtos artesanais revitalização praça cidade pelotas rs revitalização praça central município cambará sulrs aquisição equipamentomaterial permanente"
"AFONSO MOTTA_RS";"construção quadra poliesportiva polo caverá aquisição mobiliário casa cultura município aquisição equipamentos teatro casa pedra município canelars"
"AGUINALDO RIBEIRO_PB";"aquisição equipamentos materiais permanentes aquisição máquinas equipamentos agrícolas município duas estradas pb pavimentação paralelepípedo construção portal turístico restauração praça joão josé maroja frente igreja matriz reforma praça principal município gurinhém pb construção centro eventos município cuitegi pb aquisição patrulha mecanizada aquisição máquinas equipamentos aquisição máquinas equipamentos agrícolas aquisição patrulha mecanizada aquisição máquinas equipamentos agrícolas pavimentação drenagem diversas ruas município gurinhém pavimentação vias mari pb pavimentação vias sapé pb pavimentação diversas ruas município santa cruz pb implantação pavimentação vias públicas urbanas município areial pb pavimentação drenagem diversas ruas município itaporanga pb pavimentação drenagem diversas ruas município pilar pb pavimentação drenagem diversas ruas município caiçara pb implantação pavimentação vias públicas urbanas município bom jesus pb implantação pavimentação vias públicas urbanas município damião pb pavimentação diversas ruas município cabaceiras pb implantação pavimentação vias públicas urbanas município jericó pb elaboração projeto pavimentação vias sossegopb pavimentação vias públicas urbanas município mato grosso pavimentação vias públicas urbanas construção campo futebol localizado município riacho cavalos pb"
"ALAN RICK_AC";"implantação 04 quatro núcleos esporte educacional programa segundo tempo atendimento crianças jovens adolescentes município rio brancoac"
"ALBERTO FILHO_MA";"aquisição máquinas equipamentos agrícolas construção 02duas pontes concreto armado acesso assentamentos rurais município nova olinda maranhãoma recuperação estrada vicinal recuperação estradas vicinais recuperação estrada vicinal município santa luzia ma pavimentação asfaltica calçada meio fio sarjeta implantar pavimentação bloquetes rua agildo cutrin rua flores rua valdinar monteiro rua gonçalves dias sede município maranhãozinhoma construção pavimentação asfaltica ruas newton bello trancredo neve caema sede município lago verde ma contrato repasse objetivo implantar pavimentação blokret sextavado 8cm incluindo drenagem superficial meiofio sarjeta passeio calçada sinalização viária vias urbanas bairro santa amália pavimentação asfáltica vias urbanas implantação praça juventude construção estadio futebol 1ª etapa apoio infra estrutura turística construção centro cultural implantação palco permanente implantação parque exposição município formosa serra negra recapeamento pavimento vias urbanas municpio bacabalma pavimentação asfáltica povoado bacuri quaresma extensão 1977 m município pio xiima implantação sistema abastecimento agua bairro santa terezinha bairro portelinha implantação adutora ligações domiciliares rede distribuição recuperação recapeamento pavimentação aauq vias urbanas município bacabal ma pavimentação asfáltica sede município olho dágua cunhãsma aberturaconstrução 17 km estrada recuperação 62 km estrada vicinal comunidades zona rural municipio reparelhar corpo bombeiros localizado município bacabalma aquisições veículos equipamentos proteção individual epi salvamento vítimas implantação melhorias sanitárias domiciliares municipio bom lugarma pavimentação asfáltica drenagem pluvial avenida edson lobão centro maranhãozinho pavimentação bloquetes drenagem pluvial construção quadra poliesportiva revitalização praça eventos sede apoio projetos infraestrutura turistica implantação praça eventos sede município apoio projetos infraestrutura turística construção 2duas praças publicas reforma revitalização praça eventos sede município tufilândiama construção mirante publico construção praça castelo branco sede município matinhama construção praça pública município governador nunes freire ma apoio projeto infraestrutura turistica recuperação ampliação praças antonio tomaz tertuliano albino lopes sede município olho dágua cunhãs implantação pavimentação blokets principais ruas deste município implantação pavimentação meiofio calçada pavimentação blocos concreto vias urbanas contribuir desenvolvimento através pavimentação vias urbanas pois população município melhores condições higiênicas sanitáriasmelhorar aspecto município monção dando ênfase serviços urbanização áreas expansão implantação recuperação pavimentação asfáltico meio fio calçada pavimentação vias urbanas município marajá sena estado maranhão implantaçãorecuperação pavimentação asfaltica meio fio calçada 2ª etapa urbanização orla açude lago verde açude emergência pavimentação ruas adjacentes açude blocos concreto passeios tipo calçadão concreto orla açude paisagismo tipo plantio grama implantação melhorias sanitárias domiciliares prevenção controle doenças agravos município miranda nortema recuperação estrada vicinal povoados sede povoado teteu sede povoado centro teotonio sede povoado centro gastão povoado velosiana povoado guabiri municipio olho dágua cunhãs 21931 km recuperação estrada vicinal recuperar readequar conservar preservar estrada vicinal compreendendo trecho povoado tres lagos centro chiquim extensão 1500 km melhorar condições transportes pessoas inclusive escolares produção agrícola in"
"ALBERTO FRAGA_DF";"projeto racionalizaçao processo produção melhoramento genético raças zebuínas através certificação digital"
